"film_id","year","length","budget","votes","genre","rating"
26740,1994,100,10.6,72,"Action",4.7
20837,1991,82,12.2,43,"Drama",2.8
9300,1984,152,15.5,8,"Drama",4.6
31525,2004,91,10.2,389,"Action",3.7
27563,1956,84,9.9,16,"Action",5.5
5271,1985,97,17.2,8109,"Comedy",4
39007,1998,105,10.2,108,"Drama",4.9
8287,1944,56,11.4,9,"Action",2
23417,1935,11,15.4,13,"Documentary",8.7
47298,1941,227,10.1,6,"Action",3.5
39791,1912,15,10.7,7,"Comedy",8.1
5380,1931,70,13.8,12,"Drama",4.4
57620,1915,31,14.8,118,"Comedy",9
18276,1954,6,12.1,9,"Animation",8.2
492,2001,100,10.2,9,"Action",3.8
19884,1955,93,11.3,137,"Comedy",5.4
49603,1977,NA,11.2,510,"Drama",5.8
22942,1994,91,12.9,171,"Action",3.9
52555,1980,98,13.2,404,"Action",5
41838,1996,134,15.2,173,"Drama",3.3
43380,1995,109,12.4,5,"Action",3
12459,1976,87,8.8,8,"Action",4.4
43023,1998,100,15,10,"Action",4.3
55734,1999,95,10.2,85,"Drama",3.4
15554,1996,100,11.3,67,"Drama",4.9
15231,1987,78,2.9,6,"Drama",4.1
41292,1997,81,13,35,"Drama",4.5
40348,1944,7,13.1,18,"Animation",8.9
5920,1988,93,10.5,616,"Action",3.6
29830,1997,92,12.7,299,"Comedy",7.8
15204,1904,2,13.3,8,"Short",7.9
52291,1987,110,13.3,2065,"Comedy",3.9
31632,1993,110,12,17,"Drama",4.3
46454,1969,122,18.3,10,"Action",4
26082,2001,84,10.5,6,"Action",2.1
25571,1998,97,8.2,95,"Drama",5.2
35140,1937,95,13.3,21,"Comedy",2.9
36302,1993,97,8.7,130,"Drama",3.4
53517,1990,134,17.1,9,"Drama",2.5
33877,1944,66,11.4,5,"Action",2.7
38371,1986,90,13.1,16,"Drama",3.4
9763,1941,6,15.4,6,"Animation",8.1
3770,1997,145,8.3,139,"Documentary",5.8
10397,1966,6,8.7,17,"Animation",8.1
52460,1987,132,12.2,13,"Drama",3.4
53570,1951,93,13.3,5,"Action",3.4
53918,1998,NA,12.6,38,"Comedy",8
45656,1938,9,13.8,46,"Animation",8
39903,1914,480,17.6,7,"Action",4.1
22449,1936,72,12.3,8,"Drama",3.9
14948,1989,113,11.9,2216,"Comedy",7.9
17424,2003,80,13.4,9,"Action",3.7
43566,1980,106,13.1,194,"Comedy",8.6
44710,1991,118,12.6,21,"Action",5.3
56712,1929,65,11.9,17,"Drama",5.5
25688,2003,96,10.5,21,"Comedy",5
21167,1940,124,10.3,10465,"Comedy",2.6
19269,1997,72,8.3,35,"Action",5.8
14380,1967,86,11.3,19,"Action",5.3
17965,1939,84,6,67,"Comedy",2.7
40704,1975,92,5.4,31,"Drama",4.9
28814,2001,94,15,82,"Drama",5.1
1792,2005,89,11.1,7,"Comedy",8.7
56993,1953,77,18.1,28,"Drama",4.8
9609,1992,93,8.8,34,"Drama",4.3
52330,1907,7,10.6,5,"Comedy",8.6
45462,1948,99,10.5,208,"Action",3.8
35901,1920,18,14.1,159,"Comedy",8.6
53679,1977,105,7.5,21,"Comedy",2.9
31399,1962,82,13.1,13,"Action",2.1
39869,2001,103,9.7,71,"Action",4.5
57024,1940,100,12.4,8,"Action",5.1
28537,1994,117,13.8,59,"Comedy",8.1
46168,1940,6,16.4,13,"Animation",7.2
5654,1974,106,10.1,22,"Documentary",8.7
19410,2001,87,5.4,37,"Drama",4
5621,1965,9,15.2,17,"Documentary",7.8
21041,1982,130,7.8,80,"Action",4.6
27455,1942,89,14,6,"Comedy",7.5
410,2003,NA,13.1,6,"Drama",8.2
4396,2002,102,14.8,4943,"Comedy",8.1
1247,1972,80,7,10,"Documentary",5.7
13734,1975,95,14,34,"Action",2.7
41390,1933,NA,13.7,81,"Comedy",4
29436,1976,311,7.1,28,"Action",2.5
67,1935,104,10.3,11,"Comedy",5
16350,1958,95,12.5,25,"Comedy",7.9
16438,1987,93,5,67,"Drama",4.9
34189,2004,159,15.7,135,"Documentary",8.3
44613,1992,NA,11.7,17,"Drama",4.4
6689,2000,NA,9.5,6,"Documentary",4.8
52956,1976,98,13.2,33,"Action",3.5
45971,2003,88,9,5,"Comedy",2.5
52085,1973,104,13.2,163,"Action",3.5
34783,1980,97,8.7,16,"Drama",5.3
28376,2001,95,16.3,18,"Drama",3.7
49062,1953,84,14,39,"Action",5
38982,1938,78,12.3,40,"Comedy",2.7
9516,1982,94,10.2,69,"Drama",5.6
31100,2002,3,16.6,6,"Drama",7.7
31115,2000,105,11.4,2396,"Comedy",7.4
19363,2004,88,14.4,13,"Documentary",7.9
31186,1990,75,7.4,33,"Drama",3.7
12574,1938,7,9.3,17,"Animation",8.2
37053,1991,85,10.6,14,"Drama",4.3
16895,2004,122,11.8,34666,"Documentary",8.2
27392,2003,24,13.7,10,"Animation",8.1
46638,1956,80,12,11,"Action",3.7
57441,1980,NA,10.2,7,"Action",4.6
22771,1980,100,7.8,587,"Comedy",4.8
10298,1915,4,10.5,9,"Documentary",8.4
7241,2000,23,12.3,14,"Drama",8.3
44407,2002,115,7.4,163,"Drama",2.8
55638,1988,93,15.7,5,"Documentary",7.5
5376,1987,93,10.6,238,"Comedy",8
40243,1969,83,17,19,"Action",7.5
11030,1962,77,9.8,11,"Drama",4.3
28637,1991,92,11.1,7,"Documentary",8.2
6253,1985,88,12,12,"Action",3.9
4077,2003,98,10.2,11189,"Comedy",8.5
56655,1998,94,9.4,110,"Drama",3.2
55810,1969,NA,5.2,26,"Drama",4.9
2683,1984,8,16.7,41,"Animation",8.2
5907,1974,98,10.5,1292,"Comedy",8.5
39536,1935,67,13.6,7,"Comedy",8.1
40335,1967,45,11.7,123,"Comedy",8.2
55589,1964,85,9.1,803,"Romance",5.1
13823,2001,4,12.8,5,"Short",7
12149,1938,7,7.3,42,"Animation",8.7
13233,1955,103,17.1,11,"Drama",4.3
19558,1940,63,6.9,13,"Action",3.5
43441,1957,81,9.6,80,"Comedy",5.3
512,2003,90,3.1,6,"Drama",4.2
12769,1999,90,11.7,32,"Action",4.9
18184,1952,83,13.9,29,"Drama",3.1
36873,1970,85,9.8,31,"Action",4.4
13969,2004,20,4.8,7,"Comedy",8.6
37838,1978,156,7.4,5,"Action",4.4
7464,1935,83,15.9,26,"Comedy",7.8
32181,1993,85,10.4,229,"Action",3
16758,1996,101,12,1843,"Drama",3.6
26138,1956,153,8.2,34,"Action",2.2
8652,1986,93,11.5,359,"Drama",4.6
1874,2002,80,7.1,26,"Drama",4.6
650,1973,148,13.3,10,"Romance",3.7
16406,1976,NA,10.3,6,"Action",4.4
35133,1974,91,13,55,"Drama",3
11112,1962,105,13,37,"Drama",4.8
9979,2003,87,15,14,"Comedy",7.9
35042,1934,61,14.3,8,"Action",3.5
19706,1998,86,12.2,12,"Action",5.3
40201,1983,93,19,30,"Action",8
16383,2002,77,13.3,12,"Documentary",7.8
21821,2001,106,14.4,26,"Action",2.4
54123,1965,92,13.8,14,"Comedy",7.5
3106,1966,NA,3.6,18,"Action",4
13115,1946,76,10.3,22,"Drama",2.8
15689,1999,103,11.8,17521,"Comedy",8
22940,1942,63,7.5,13,"Action",4
34431,1943,104,7.2,345,"Comedy",1.9
40464,2002,94,13,596,"Comedy",5
25679,1999,116,17.5,95,"Action",8
43082,1944,70,12.8,145,"Action",3.5
55964,1969,90,9.3,75,"Drama",2.7
32639,2002,80,11.6,3903,"Comedy",8
5222,1987,95,9.9,714,"Action",3.6
31707,1942,86,13.2,21,"Comedy",8.3
12822,1981,101,10,32,"Action",3.1
23134,2002,86,13,8,"Action",3.7
25450,1980,113,12.3,279,"Drama",4.5
33693,1966,NA,11.4,5,"Action",4.7
48050,1945,100,16.2,58,"Drama",2.3
4807,1960,102,16.3,61,"Drama",3.9
11023,1953,70,12.2,24,"Action",4.5
30820,1926,62,11.4,17,"Comedy",3.7
12873,1981,100,11.5,308,"Action",3.3
22475,1974,72,13.6,6,"Action",4.7
19533,1994,110,15.3,8,"Action",7.9
41502,1979,102,17.2,427,"Action",7.9
37493,1957,86,5.5,36,"Comedy",4.7
33621,1963,7,13.1,36,"Animation",7.7
40264,1981,122,8.9,828,"Drama",4.9
54824,1937,59,10.2,7,"Action",3.5
9714,1943,8,12.5,57,"Animation",8.8
41625,1992,33,16.5,5,"Short",7.5
25359,2003,75,11.5,5,"Documentary",7.7
3618,2002,40,9.5,11,"Documentary",8.6
8687,1950,80,9.7,10,"Drama",4.3
51437,1935,87,10.8,15,"Comedy",8.8
3532,1905,8,12.9,7,"Drama",7.6
12951,2001,7,11.4,11,"Drama",7.9
36177,2001,94,12.9,59,"Action",8.2
17202,1967,NA,12.5,5,"Action",3.2
43434,2002,10,14.1,15,"Animation",8.2
12089,1990,218,9.3,6,"Drama",4.8
31562,1982,82,5.6,5,"Animation",1.3
47054,1953,83,4.1,83,"Action",4
38729,1992,90,12.9,90,"Comedy",7.4
19157,1973,105,10.3,83,"Comedy",4.5
44271,1987,99,13.2,241,"Drama",3
49074,1966,92,13.3,21,"Drama",5
47607,1963,111,15.6,10,"Action",3.5
38387,2003,104,13.2,18,"Action",4.1
5205,1979,111,12.4,130,"Documentary",8
14462,2001,89,13.9,324,"Drama",3.7
15421,1949,108,10.2,184,"Drama",4.7
15240,1943,7,6.9,49,"Animation",8.7
26484,1962,107,5.7,20,"Drama",2.9
12432,1983,136,12,527,"Drama",5.5
44005,1985,110,10.6,8,"Action",3.5
24763,1981,85,15.4,14,"Animation",3.6
37796,1938,7,11,8,"Animation",7.9
43663,1994,90,13.8,25,"Documentary",8.6
50152,2003,15,12.5,5,"Action",8.4
43590,1935,8,10.2,54,"Animation",8.4
41631,2002,13,9.5,10,"Comedy",7.8
43699,2003,89,13.9,27,"Documentary",8.4
56342,1975,17,11.1,11,"Short",8
10949,1999,32,13.9,16,"Short",8.1
2851,1981,92,11.9,22,"Action",4.2
557,1964,3,16.2,6,"Short",7.6
39272,1975,121,16.6,9,"Drama",3.8
32326,1973,109,17.2,10,"Action",8.2
1078,2000,5,7.1,5,"Comedy",7.5
31001,2000,85,13.1,38,"Action",2.3
11239,1997,112,14.2,72,"Action",5.1
53476,1943,94,9,7,"Comedy",4.9
55929,2001,76,16.1,64,"Comedy",7.8
38672,1932,68,14.8,209,"Comedy",7.5
10780,2001,72,8.9,10,"Drama",3.3
8106,2001,91,14.8,1315,"Comedy",7.7
28125,1960,88,9.9,10,"Comedy",4.5
44626,1986,144,11.2,10,"Action",2.9
27258,2000,70,12.2,15,"Comedy",8
51911,1987,102,13.1,7973,"Comedy",4.2
58586,2002,101,11.8,278,"Drama",5
42526,2002,86,11.5,12,"Action",4.3
33758,1944,99,9.2,992,"Comedy",2.8
14000,1987,79,13.4,13,"Comedy",7.6
27811,2003,3,14.8,7,"Animation",7.4
39270,1978,125,12.7,60,"Drama",4.6
57960,2002,165,12,24,"Comedy",4.7
54678,1979,143,13.1,5,"Action",3.7
41627,1949,6,8.4,91,"Short",7.6
28450,2004,24,9,9,"Documentary",8.1
40842,1963,122,11.1,10,"Action",4.7
58131,1935,6,11.6,12,"Animation",8.1
19776,1971,149,14.2,9,"Drama",4
48970,1997,129,12.1,32618,"Action",4.2
17813,1999,102,7.1,47,"Action",3
1101,1939,85,10.1,509,"Action",3.8
49515,1986,20,16.3,186,"Short",8.1
38101,1957,105,7,91,"Comedy",5.5
12231,1960,89,11.9,50,"Drama",3.3
7671,1978,107,15.8,16,"Documentary",7.8
32586,1931,7,12.7,14,"Animation",8.5
48950,1987,93,11.5,60,"Drama",3.6
24719,1994,91,3.9,96,"Action",3.7
11424,2000,16,12.3,12,"Short",7.6
33784,1985,90,15.1,143,"Comedy",7.6
846,2001,35,9.3,159,"Comedy",8.4
8341,1977,108,14.1,35,"Drama",5.2
10350,1994,107,16.9,913,"Comedy",8.4
20422,1995,96,11.1,12,"Documentary",7.5
5309,2005,90,14.5,36,"Action",3.3
28734,1943,86,3.9,118,"Comedy",5.2
33103,1993,97,15.7,4704,"Action",4
35990,1998,81,14.3,8,"Action",4.6
15033,2002,102,15.9,162,"Action",3.9
2093,1967,20,10.6,10,"Documentary",8
58351,1969,121,13.2,2483,"Drama",3.1
43587,1995,133,16.7,6652,"Action",4.5
45888,1999,101,17.3,90,"Comedy",8.2
9778,1955,60,13.6,8,"Comedy",6.8
11034,2004,NA,13.6,193,"Drama",3.9
45261,2000,116,10.1,15403,"Action",2.1
54475,2004,40,13.9,8,"Short",7.8
36697,1989,104,8,107,"Action",3.6
4184,1981,95,18.7,232,"Comedy",8
13933,1933,113,13,1031,"Comedy",4.7
26262,1978,3,14.7,24,"Comedy",7.4
3657,1974,127,16.7,9,"Drama",3.3
2975,1996,12,10.7,6,"Animation",5.7
31841,1969,NA,7.9,40,"Drama",3.9
58079,1973,72,9.7,7,"Comedy",8.4
33430,1959,118,9,43,"Drama",2.1
19741,2003,NA,12.5,198,"Comedy",3.2
44589,1985,89,10.5,44,"Comedy",4
6876,1954,149,14.9,24,"Drama",5
6278,1932,91,10.5,53,"Comedy",7.7
29027,2001,24,8.4,7,"Short",7.9
55647,1990,120,15.5,221,"Comedy",7.2
2284,1986,108,16.5,99,"Drama",3.1
8619,1935,52,9.2,5,"Action",4.7
2545,1946,100,6.8,284,"Comedy",3.2
20252,1942,81,10.9,7,"Comedy",8.6
6287,1971,77,10.2,14,"Drama",5.1
7633,1926,85,15.8,19,"Drama",4.5
31404,1960,89,14.7,13,"Action",3.6
32135,1975,127,12.3,332,"Action",4.1
44067,1997,52,13.6,27,"Comedy",7.1
7506,1931,72,10.8,42,"Comedy",8.1
30705,1997,50,14.9,25,"Documentary",7.8
3843,1932,8,10.2,66,"Animation",8.2
451,1953,73,15.8,17,"Drama",3.7
46419,2000,69,11.4,83,"Drama",3
12105,1968,120,12.2,228,"Action",4.2
36824,1976,90,10.6,155,"Drama",5
24622,1980,101,18.9,6,"Drama",4.5
12921,2003,120,13,54,"Action",3.9
37304,1981,90,15.1,8,"Action",3.8
37079,2000,112,9.1,41,"Drama",3.8
11565,1989,5,14.9,1302,"Animation",7.7
13939,1957,94,9,29,"Drama",4
1937,1974,90,2.9,20,"Action",4.5
20557,1980,93,12.2,71,"Action",2.9
6892,1993,120,11.1,167,"Drama",4
10334,1946,78,16.3,25,"Comedy",8
6676,1989,100,14.9,32,"Drama",3.7
4655,1921,13,8,32,"Comedy",7.4
41696,2003,114,10.3,273,"Comedy",3.2
17594,1926,95,12.9,5,"Drama",4.5
40291,1988,90,13,31,"Action",3.2
15071,2002,75,10.5,6,"Documentary",7.3
8895,1965,115,9.8,50,"Comedy",4.4
20334,1965,80,15.7,62,"Comedy",7.9
2635,1977,91,10.8,335,"Comedy",7.7
51292,1990,93,10.7,10,"Action",5
36208,1981,88,14.5,1124,"Comedy",7.2
38227,1935,NA,7.7,12,"Drama",3.2
26786,1976,94,13,17,"Comedy",8.2
9117,2002,88,12.7,8,"Drama",5.7
29705,1995,115,12.2,79,"Action",2
3239,1938,90,16.7,20,"Comedy",7.7
26935,1976,87,16.9,32,"Comedy",8.3
30142,1993,90,13.2,21,"Action",5.2
3809,1996,100,12.4,35,"Action",4
7526,1958,12,8.7,5,"Short",8.6
50349,1945,8,9.8,68,"Animation",8.1
8713,1926,165,8.1,12,"Drama",1.3
7236,2002,86,7.5,58,"Action",2.8
42619,1997,95,14.3,148,"Action",4.6
54309,1950,91,11.2,31,"Drama",5.6
35696,1981,197,10.1,85,"Action",3.6
54983,1991,85,9.2,77,"Action",3.3
33112,2004,93,9.6,32,"Drama",3.7
8468,2002,NA,11.4,7,"Animation",4.5
56734,2000,120,13.9,5042,"Comedy",4.4
41341,1953,64,12.3,30,"Comedy",8
23735,1952,7,8.5,15,"Animation",7.9
48703,1966,93,14.6,18,"Comedy",8.3
52126,1994,90,11.2,10,"Action",5
54808,1962,80,13.1,6,"Action",5.9
5334,1989,90,9.3,62,"Comedy",4
12044,1932,75,12.8,47,"Drama",4
185,2000,85,16.4,28,"Action",7.9
8157,1930,7,12.1,16,"Animation",7.9
37288,1960,61,12.6,27,"Action",4.5
33879,1999,88,11.3,58,"Comedy",8.3
57409,1946,107,12.7,185,"Comedy",4.1
18494,1996,94,17.1,5,"Action",7.7
4751,1966,48,12.9,90,"Action",4.6
18452,1997,90,11.9,13,"Action",4.1
52751,1998,75,9.8,21,"Action",3.5
17364,1974,NA,14.7,11,"Drama",4.7
58421,1996,80,13.9,77,"Action",3.8
43012,1953,115,10.6,208,"Comedy",8
23560,2003,5,11.7,7,"Action",8.2
35685,2000,85,11.3,10,"Action",4.1
14455,1946,63,11.4,5,"Action",2.7
31087,1920,70,12.8,7,"Drama",3.7
6239,2001,95,13.9,28,"Action",3.6
33938,1980,90,10.3,9,"Drama",5.5
55154,1978,45,14,57,"Action",3.6
2516,1999,82,14.7,28,"Drama",4.5
12128,1990,105,11.4,151,"Drama",4.7
18944,1998,91,16.6,619,"Comedy",7.8
35210,1993,85,10.5,637,"Comedy",7.4
44189,1982,105,15.2,6,"Action",8.3
55165,1958,15,13.9,50,"Short",8.4
21933,1991,88,13.5,216,"Comedy",2.8
25652,1959,67,15.2,139,"Action",2.1
24005,2003,126,9,8164,"Drama",4.2
11381,1990,94,12.9,129,"Drama",3.6
8579,1955,92,13.7,65,"Drama",4.3
36980,1955,135,10.9,223,"Drama",3.6
36113,1964,34,10.1,6,"Short",7.6
20175,2000,110,8.8,3968,"Comedy",3.6
51984,1963,108,16.4,454,"Comedy",7.7
50249,1995,90,7.9,95,"Action",4.2
2413,1995,48,9.8,5,"Documentary",8.3
26069,1989,55,12.9,6,"Documentary",8.2
4095,1995,85,15.6,618,"Drama",5.9
23996,1987,102,14.6,3798,"Action",4.9
3625,2002,105,11,3276,"Drama",4.5
13704,1995,125,16,5,"Drama",2.6
19523,1996,99,12.5,188,"Action",3.8
5529,1997,96,4.1,47,"Action",4.3
25724,1936,54,15.9,9,"Action",8.3
5156,1942,70,9.8,38,"Drama",3.6
8120,1991,NA,15.4,204,"Action",7.8
38145,1921,13,8.4,54,"Animation",2.3
12810,1993,92,13.2,73,"Action",5.1
34531,2003,169,11.3,66,"Action",2.5
35893,1946,8,12.1,11,"Documentary",8.4
27764,1947,104,12.2,60,"Drama",4.6
5780,1992,111,14.3,43,"Action",5.1
49524,1951,125,14.7,9623,"Drama",4.3
16118,1981,8,14.1,5,"Animation",7.9
140,1996,103,11.9,5028,"Comedy",8.3
44043,1967,90,13.2,27,"Drama",3.4
8281,1942,68,9.5,14,"Comedy",7.5
26644,2002,116,14.6,8952,"Drama",6.1
13120,1996,115,13.4,18,"Comedy",7.2
26393,2004,102,13.5,6853,"Comedy",3.9
48306,1955,6,8.8,26,"Animation",7.9
44991,1946,100,10.9,43,"Comedy",4
20137,1980,16,9.4,7,"Drama",8.1
29435,1975,85,5,101,"Action",2.6
39639,1967,107,10.6,56,"Comedy",7.5
31975,1962,123,17.9,7281,"Action",7.9
4961,1989,157,14.4,283,"Drama",2.8
27681,2000,104,7.8,5418,"Comedy",5.1
15336,1972,76,12.3,46,"Comedy",8
51105,1979,95,10.2,111,"Drama",2.8
3252,2004,120,10.8,13,"Drama",3.6
51788,2003,90,10.7,46,"Documentary",7.6
58060,2002,93,12.8,24128,"Action",3.3
36132,2000,90,15.5,61,"Drama",4.2
33994,1981,90,13.6,30,"Comedy",7.5
15163,1942,7,16,38,"Animation",8.2
7305,1995,104,12,81,"Drama",2.9
5316,1950,89,9.2,19,"Drama",3.4
41012,1982,105,12.6,36,"Drama",5.7
45346,1941,229,11.5,6,"Action",2.6
39750,1971,120,9.1,9,"Action",5.2
207,1998,107,9,13,"Drama",3.8
41942,1997,43,9,11,"Short",7.9
21857,1980,89,13,6,"Action",2.5
36655,1961,110,14.5,34,"Drama",3.9
23658,1995,120,14.2,142,"Drama",4.6
16781,2000,79,10.9,424,"Documentary",7.6
18928,1938,11,7.6,14,"Short",7.8
52319,1931,71,12.2,18,"Comedy",8.5
25602,1979,100,13.1,35,"Drama",4.3
17377,1998,118,12.4,21484,"Comedy",4
4186,1967,30,16.4,14,"Short",7.7
17552,2003,96,9.1,14,"Action",4.9
35886,1968,160,15.2,16,"Drama",3.8
18264,1999,90,9.2,143,"Drama",4.1
56521,2002,101,14.9,10252,"Drama",4.5
17289,1990,114,13.4,6,"Comedy",5
13504,1943,135,7.6,503,"Action",2.7
57650,1994,90,10.3,64,"Drama",3.7
49456,1974,NA,10.8,16,"Comedy",8
41916,1976,120,10.7,24,"Drama",3.7
54194,1997,89,6.3,488,"Action",3.2
6116,1994,92,11.4,1133,"Action",7.9
7733,1959,99,10.3,31,"Drama",3.9
38122,1966,NA,11.8,340,"Action",4.9
27402,1997,3,14.2,6,"Documentary",8.1
27735,1979,90,13.2,12,"Action",4
43411,1967,87,10.9,58,"Drama",5.2
15848,1976,100,12.2,8,"Drama",3.5
5477,1934,9,12.4,80,"Animation",8.8
47636,1979,92,14.4,43,"Drama",3.6
13200,1981,85,13.7,23,"Action",6
36749,1997,108,12.7,132,"Action",7.3
5612,1999,90,9.7,25,"Comedy",4.1
43617,1960,88,18,12,"Action",8.7
51985,1945,105,13.1,56,"Action",3.6
19335,1942,11,19.9,8,"Short",7.8
10947,1940,8,5,22,"Animation",3.3
9787,1930,70,13.2,9,"Comedy",8.1
21594,1959,67,11.7,18,"Action",4
11387,1984,77,12.7,6,"Action",4.3
30096,1984,78,5.3,10,"Action",4
11905,2000,27,19.5,14,"Drama",7.6
2766,1948,107,11.5,44,"Drama",3.5
3282,1978,86,11.9,6,"Documentary",8
37725,1935,8,7.4,68,"Animation",8.1
7732,1997,83,12.2,732,"Comedy",7.3
12405,2000,117,8.1,133,"Romance",4.2
9107,2000,95,10.4,85,"Drama",2
22638,1944,13,16.1,5,"Animation",7.9
40639,1988,NA,9.2,53,"Comedy",3.8
33985,1982,NA,10.6,5,"Drama",4.9
14992,1977,95,15.2,10,"Comedy",8.6
14736,1930,81,8.7,49,"Comedy",3.9
34218,2004,122,12.5,60,"Drama",3.5
38671,1898,1,17.3,57,"Documentary",7.7
28626,1968,6,13.5,6,"Animation",8.6
14908,1987,86,12.6,26,"Drama",3.3
56699,2004,24,14,8,"Documentary",8.7
604,1980,90,7.7,14,"Comedy",3.1
35001,1987,110,9.3,8,"Animation",2.6
52921,1993,89,7.7,104,"Comedy",3.5
55899,1981,57,11.9,7,"Action",4.4
49626,1970,89,16.2,29,"Drama",4.5
42737,1974,96,9.4,6,"Drama",3.8
57136,1990,124,15.7,9549,"Comedy",2.8
35726,2001,92,10.9,47,"Comedy",3.9
39862,2001,85,14.5,6,"Action",8
46965,1999,101,15.7,994,"Comedy",7.8
57521,1931,74,12.8,17,"Drama",3.8
29570,1985,69,12.8,9,"Action",3.9
33700,2001,97,15.5,128,"Action",7.7
48782,1943,132,13.6,173,"Action",4.5
33141,1955,NA,8.6,5,"Drama",4.5
58048,1986,97,9.4,9,"Comedy",3.7
34570,1970,89,4.5,7,"Comedy",4.3
50449,1970,NA,12.8,66,"Drama",3.2
18313,1963,98,12.4,14,"Action",4.4
43137,1978,98,12.6,2491,"Comedy",7.2
57728,2002,101,19.1,4065,"Action",7.8
54175,1944,102,7.4,91,"Drama",3.2
58557,1916,NA,12.6,50,"Action",4
10904,1961,132,12.1,35,"Action",4.2
46572,1972,170,12.5,35,"Comedy",4
50060,1985,100,14,3633,"Comedy",4.2
21991,1934,86,12,27,"Comedy",3.3
35941,1964,87,15.3,9,"Drama",2
37673,1998,105,13.3,190,"Comedy",7.8
13281,1987,86,9.7,26,"Action",4.3
36406,1932,76,18.2,7,"Action",7.6
10459,2002,79,9.6,44,"Drama",3.4
29688,2001,95,5.7,166,"Drama",3.5
3959,1969,52,9.5,14,"Action",4.2
39400,1995,16,11.4,48,"Short",7.8
7583,2002,NA,6.6,11,"Documentary",3.2
18050,1979,108,7.8,36,"Drama",2.6
